Gene	HE6W_1_LA.1	HE6W_1_LA.2	HE6W_1_LA.3	HE6W_1_LA.4	HE6W_1_LA.5	HE6W_1_LA.6	HE6W_1_LA.7	HE6W_1_LA.8	HE6W_1_LA.9	HE6W_1_LA.10	HE6W_1_LA.11	HE6W_1_LA.12	HE6W_1_LA.13	HE6W_1_LA.14	HE6W_1_LA.15	HE6W_1_LA.16	HE6W_1_LA.17	HE6W_1_LA.18	HE6W_1_LA.19	HE6W_1_LA.20	HE6W_1_LA.21	HE6W_1_LA.22	HE6W_1_LA.23	HE6W_1_LA.24	HE6W_1_LA.25	HE6W_1_LA.26	HE6W_1_LA.27	HE6W_1_LA.28	HE6W_1_LA.29	HE6W_1_LA.30	HE6W_1_LA.31	HE6W_1_LA.32	HE6W_1_LA.33	HE6W_1_LA.34	HE6W_1_LA.35	HE6W_1_LA.36	HE6W_1_LA.37	HE6W_1_LA.38	HE6W_1_LA.39	HE6W_1_LA.40	HE6W_1_LA.41	HE6W_1_LA.42	HE6W_1_LA.43	HE6W_1_LA.44	HE6W_1_LA.45	HE6W_1_LA.46	HE6W_1_LA.47	HE6W_1_LA.48
AATK-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABALON	0	0	0	0	106.69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200.56	0	0	0	0	54.41	0	68.65	0	0	0	0	0	0	0	0	0	0	0	0	4.61	0	0	0	37.18	0	0	0	0
ABAT	0	0	674.45	112.2	0	0	0	359.62	338.05	0	0	9.24	0	0	4.89	0	19.65	0	263.63	0	0	0	0	0	0	0	0	0	0	47.38	0	0	4.39	0	0	0	0	7.93	37.05	0	8.27	143.96	103.5	28.92	0	281.03	0	0
ABCA1	12.5	0	0	0	6.67	0	0	228.85	0	12.33	0	9.24	44.77	43.04	0	178.79	0	0	0	0	107.96	0	0	0	0	78.97	0	36.49	0	0	67.18	5.35	61.51	134.93	0	0	0	0	555.78	9.21	0	0	0	0	0	0	7.48	32.29
ABCA10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.27	0	0	0	23.47	0	0	0
ABCA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.89	0	0	0	0	0	0	0	0	0	0	0	0	121.62	0	0	201.55	0	4.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA17P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	8.61	0	0	0	0	0	0	0	0	0	0	0	4.65	0	0	0	0	0	0	0	0	0	0	9.29	0	0	0	0	0	0	0	0	0	0	0
ABCA3	0	0	0	0	0	0	0	0	0	0	0	4.62	0	0	0	0	0	0	0	458.43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.65	0	0	137.47	0	0	0	0	0	0	0	0	0	148.21	0	0	0	5.75	0	0	0	0	0
ABCA6	0	0	0	0	0	0	0	16.35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.05	0	0	0	0
ABCA8	0	149.19	0	5.1	0	0	0	0	21.13	0	6.64	0	0	0	0	0	0	0	0	0	0	23.99	312.35	0	3.02	83.62	19.61	267.56	0	0	0	0	4.39	359.81	0	0	83.61	0	0	0	8.27	0	0	0	0	0	67.35	0
ABCA9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.52	0	170.27	0	0	0	0	0	0	0	0	0	0	0	4.61	0	0	0	0	0	0	0	0
ABCA9-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	0	0	0	0	0	0	261.54	0	0	0	0	0	25.83	0	0	0	0	0	133.71	0	0	0	0	223.67	4.65	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61	0	0	0	404.9	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	0	0	8.65	0	40.01	0	0	0	0	0	0	0	0	0	24.45	14.9	0	0	0	0	0	0	0	0	0	9.29	0	194.59	0	9.48	0	0	0	0	0	0	0	0	0	0	231.49	0	0	0	0	0	0	0
ABCB7	0	0	0	0	0	0	0	228.85	0	40.06	0	0	0	0	39.13	0	0	0	0	0	0	0	0	0	0	0	29.42	12.16	0	0	0	26.75	0	0	0	0	0	0	0	0	0	0	0	8.26	0	0	7.48	0
ABCB8	0	0	0	0	0	0	48.52	0	0	92.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.09	4.65	0	0	10.57	0	0	112.34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.76
ABCB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.39	0	0	0	0	0	0	0	0	0	5.75	0	0	0	3.74	0
ABCC10	0	0	0	0	0	0	16.17	0	0	9.24	0	69.32	0	0	0	0	0	0	0	9.55	44.98	0	0	0	0	0	0	0	0	0	0	0	21.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.61	0	0	0	0	0	0	0	0
ABCC4	0	0	0	0	0	0	0	0	0	0	0	46.22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.13	0	0	0	0
ABCC5	0	95.91	43.23	91.8	0	0	274.95	0	21.13	0	0	0	0	103.31	0	0	19.65	133.09	0	0	0	0	0	0	0	4.65	0	0	0	0	0	90.94	26.36	0	0	0	0	0	0	0	0	0	5.75	41.32	704.19	64.85	0	10.76
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	12.5	5.33	86.47	5.1	33.34	0	274.95	0	0	64.71	13.28	50.84	16.79	68.87	14.67	29.8	0	14.79	12.55	114.61	35.99	215.93	0	60.7	3.02	65.04	34.32	0	21.15	18.95	44.79	123.03	123.01	44.98	0	0	0	47.55	0	4.61	41.34	28.79	17.25	24.79	0	0	93.55	118.41
ABCD1	0	0	0	5.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	0	85.25	0	0	0	0	32.35	16.35	0	3.08	126.21	0	0	0	0	14.9	0	0	0	57.3	0	0	0	0	0	4.65	0	0	0	0	134.37	53.49	0	0	0	0	0	0	111.16	0	0	0	0	12.39	0	0	41.16	10.76
ABCD4	0	0	0	0	0	0	0	0	0	0	86.35	0	0	0	0	0	0	0	0	0	152.95	0	0	0	0	0	19.61	0	0	0	0	26.75	92.26	0	0	0	0	7.93	0	258.01	0	0	0	4.13	0	0	0	0
ABCE1	0	0	0	0	46.68	0	436.69	0	0	0	92.99	0	44.77	232.44	4.89	7.45	0	0	0	66.85	44.98	0	0	0	57.43	9.29	0	12.16	116.32	0	0	16.05	39.54	0	0	0	0	0	0	0	0	0	11.5	8.26	23.47	64.85	0	10.76
ABCF1	12.5	0	8.65	0	66.68	0	16.17	0	591.59	187.96	172.7	0	0	292.7	0	0	589.62	399.28	50.21	286.52	26.99	287.9	156.18	0	136.01	153.3	392.27	0	10.57	0	0	42.79	127.4	0	0	15.86	743.18	7.93	222.31	170.47	0	28.79	241.5	0	0	64.85	145.93	10.76
ABCF2	0	0	0	0	0	0	274.95	0	0	0	26.57	0	0	0	0	0	0	0	0	0	98.97	0	0	0	57.43	0	24.52	0	0	0	0	0	96.65	0	0	0	9.29	0	0	4.61	99.21	28.79	5.75	4.13	23.47	216.18	48.64	0
ABCF3	137.54	5.33	8.65	0	53.35	0	0	0	0	0	0	27.73	0	0	0	0	196.54	0	12.55	0	107.96	0	0	0	0	13.94	0	12.16	0	246.39	0	0	4.39	0	0	0	0	7.93	0	0	0	0	51.75	0	0	0	82.32	0
ABCG1	0	0	0	0	0	0	0	49.04	0	0	6.64	0	274.23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	0	0	0	0	0	0	0	0	0	0	0	138.65	0	284.09	0	0	412.74	192.25	0	0	0	0	0	0	18.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.58	0	0	0	0
ABCG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.47	21.62	0	0
ABHD10	0	0	8.65	0	146.7	0	0	0	0	36.98	0	55.46	0	0	4.89	0	0	0	0	9.55	0	0	468.53	0	0	0	78.45	0	21.15	0	0	80.24	96.65	0	0	0	0	0	0	9.21	0	0	0	8.26	0	0	71.1	193.75
ABHD11	112.54	0	0	0	80.02	0	0	0	0	0	0	4.62	0	0	0	0	19.65	0	0	0	0	0	0	0	0	0	117.68	0	137.47	0	0	320.96	0	0	200.72	0	0	7.93	0	0	0	0	92	0	0	0	3.74	0
ABHD11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD12	0	0	0	5.1	53.35	0	16.17	0	0	0	59.78	0	0	0	4.89	0	39.31	0	0	9.55	0	0	0	339.92	21.16	18.58	63.74	12.16	0	9.48	0	5.35	13.18	0	0	0	0	245.69	0	0	0	0	0	4.13	0	0	0	0
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	0	0	0	0	153.37	0	0	0	0	58.55	0	0	5.6	0	0	7.45	0	133.09	0	0	341.88	0	0	0	0	0	4.9	0	0	0	0	0	0	0	0	0	0	0	0	119.79	124.01	0	0	0	0	0	3.74	10.76
ABHD14A	0	0	0	0	46.68	535.65	388.17	0	0	0	0	0	0	0	4.89	0	0	29.58	0	0	0	0	0	0	0	0	0	0	0	9.48	0	149.78	4.39	0	0	174.46	0	7.93	555.78	0	305.9	28.79	5.75	0	0	0	112.26	0
ABHD14A-ACY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD14B	12.5	101.24	0	0	0	0	0	0	0	43.14	0	0	89.55	86.09	0	0	0	0	0	95.51	62.98	815.72	0	0	15.11	0	0	0	0	0	0	0	87.86	0	0	0	0	0	0	64.5	0	0	5.75	4.13	0	0	3.74	10.76
ABHD15	0	0	0	0	0	0	16.17	0	0	0	0	0	0	0	0	0	0	0	0	9.55	0	0	0	0	0	0	4.9	0	0	0	0	0	4.39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD16A	0	111.89	17.29	0	66.68	0	0	0	0	0	59.78	0	123.13	43.04	0	0	0	0	0	0	35.99	0	0	0	0	97.55	83.36	12.16	0	0	0	0	52.72	89.95	200.72	0	0	0	0	9.21	0	0	0	0	0	216.18	3.74	0
ABHD16B	0	0	0	0	46.68	0	0	0	0	0	0	0	0	8.61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	0	0	0	316.2	0	0	48.52	0	0	0	0	0	0	8.61	0	0	0	0	12.55	0	0	0	0	0	0	0	127.49	0	0	0	0	0	4.39	0	0	0	0	0	0	0	0	28.79	0	0	0	0	7.48	0
ABHD17B	0	0	0	5.1	146.7	0	0	0	0	3.08	0	0	0	0	4.89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67.18	42.79	0	0	0	0	9.29	0	0	4.61	0	0	0	4.13	0	0	18.71	0
ABHD17C	0	0	0	0	0	0	0	0	0	0	0	4.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53.49	0	0	0	0	9.29	0	0	0	0	0	0	0	0	0	0	0
ABHD2	12.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.16	0	0	22.39	128.38	0	0	0	0	9.29	0	0	0	41.34	0	0	0	46.95	0	0	0
ABHD3	0	0	0	0	46.68	0	0	0	0	3.08	0	9.24	0	335.75	0	0	0	739.4	0	0	0	23.99	0	0	6.05	0	58.84	0	0	0	0	0	0	0	0	0	9.29	0	0	9.21	0	28.79	5.75	4.13	0	0	0	10.76
ABHD4	0	10.66	0	0	0	0	0	0	0	3.08	0	4.62	0	0	0	0	0	0	0	0	71.97	0	0	0	0	88.26	0	0	0	0	0	0	74.69	0	0	0	0	47.55	0	0	0	0	0	0	23.47	0	41.16	0
